text,label
This is wonderful,1
Terrible,0
I liked it,1
Complete trash,0
Very cool,1
Great movie,1
The movie is awful,0
I didn’t like it at all,0
Amazing work!,1
Never buying this again,0
Excellent service,1
Disgusting service,0
Fantastic!,1
Disappointed,0
Very satisfied,1
Never again,0
Best day ever,1
This is a disaster,0
I really liked it,1
Horrible,0
Super!,1
Not worth the money,0
Highly recommend,1
Awful,0
Wonderful,1
Didn’t like it at all,0
I’m thrilled,1
Very bad,0
Excellent quality,1
Nightmare,0
Good idea,1
That’s a mistake,0
Great film,1
The product arrived broken,0
Pleasant surprise,1
This is the worst I’ve seen,0
I’m happy,1
Disgusting,0
I liked everything,1
Don’t recommend,0
Very nice,1
Total failure,0
Cool!,1
Broken and not working,0
Magnificent,1
This is a shame,0
Everything’s great,1
Very disappointed,0
Liked it,1
I hate this,0
